g_flwr,hrb_ht,nonnativ,plant,wt_g
0,12.25,111,117,28
16,6.5,96,98,12.5
60,4.75,86,89,21.5
75,11.5,93,96,26.5
68,14,94,96,21
0,18,95,96,24.5
0,12.75,81,81,26.5
60,12,70,92,35.5
0,21.25,91,97,25.5
89,10.5,74,79,16
85,19.75,52,73,15.5
9,7.5,64,66,13
34,7,91,91,11.5
34,11.25,125,126,15
0,19.25,123,128,28.5
0,11,108,108,33.5
0,5.5,146,152,23
0,12,85,88,34
60,10.5,97,97,39.5
0,12.25,89,95,17.5
0,20,101,103,35.5
50,16.75,38,103,6.5
33,7,59,121,17.5
0,29.75,76,100,55.5
0,34.75,83,103,60
0,17.75,74,90,39
0,63.75,101,102,66
0,36.25,62,66,37
0,11.5,95,97,10
0,17,86,107,31
0,34.5,104,104,60.5
0,30,95,103,27
