X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.0495792749770918,76.5991563748277,0.7479002049987695
2.0,2.0,train,0.051300540082832934,81.72943567213157,0.7596762864326492
3.0,3.0,train,0.03776715866473517,53.407070457373415,0.6499371013905801
4.0,4.0,train,0.03710563686246926,49.63080097886055,0.6434415540775171
5.0,5.0,train,0.02489044767121236,18.419755262895617,0.4993093794202732
6.0,6.0,train,0.04851236265707221,66.76646999257652,0.740312978045283
7.0,7.0,train,0.07135070664842093,100.0,0.8623460026408085
8.0,8.0,train,0.02202995304378044,11.263153925275153,0.4578793473770689
9.0,9.0,train,0.05719945590245541,92.8648464527486,0.7960160303973443
10.0,10.0,train,0.03853414962310854,57.260750209109574,0.6573202699323366
11.0,11.0,train,0.03252466622076075,35.55075993639009,0.5950293336504082
12.0,12.0,train,0.04874816031813135,71.64055778809224,0.7420092462789247
13.0,13.0,train,0.036392624882159684,45.92015635565661,0.6363053905328755
14.0,14.0,train,0.04654604473879527,61.915436227507996,0.7257264500447149
15.0,15.0,train,0.03377513741515448,42.28081639746539,0.6088617965744132
16.0,16.0,train,0.03352439182609089,38.9032232242436,0.6061264979524712
