g_pres,asp_cir,bare,dstrb_cir,slp_deg_cir,slp_pos
present,SW,30,15,16,1
present,NE,5,12,12,1
absent,S,0,1,5,-1
present,SW,7,1,8,0
present,S,4,30,13,0
present,W,15,1,13,0
present,NW,2,5,10,0
present,NW,8,20,5,0
present,SW,20,20,7,0
absent,SE,5,2,12,1
present,NW,8,10,25,1
present,NE,21,30,10,0
present,NE,10,10,10,1
present,NE,12,5,10,0
present,W,35,2,15,0
present,SW,10,25,16,0
present,S,6,3,10,0
absent,S,0,0,16,0
absent,E,1,1,10,0
absent,W,15,3,10,1
absent,NW,5,5,15,0
present,E,7,7,10,1
present,E,4,4,16,1
present,NW,1,25,14,0
absent,N,10,8,17,0
absent,N,6,8,25,1
absent,SE,2,1,25,-1
absent,SW,40,2,25,0
absent,SW,5,1,15,0
absent,SE,3,2,9,-1
absent,N,2,2,35,0
absent,E,1,3,22,-1
