g_head,al,as,rel_infil
6.6,0,0.2523426380022684,slow/fair
0,0,0.2321397544874757,slow
2.25,0,0.16290389129584204,slow
2.3,0,0.16085446916239227,slow/fair
10.78571428571429,6.831418494257435,0.08364709375947357,fair
12.4,0,0.2181121081053577,slow/fair
10.25,10.205451495998497,0.11980170290888521,fair
5.6,2.849588573218308,0.12124059411330453,fair
26.2,9.706326053306322,0.07314094791515688,fair
0,0,0.19805272840390348,fair/slow
11.1,5.316303890121321,0.11193953800552907,fair
29,5.006105301369801,0.13383293975839494,fair/slow
2.083333333333333,0,0.17964846774627588,fair
10.33333333333333,0,0.08028150470510685,fair
0,0,0.23544130076215813,fair
0,0,0.1714626571953721,slow
0,0,0.15158658629872593,fair/slow
0,0,0.3259988959683563,slow/fair
0,0,0.20507332424466065,slow/fair
4.8,0,0.19018529570831766,slow/fair
49,10.930258999297497,0.07663052909162094,fair
0,0,0.13785040096795606,fair/slow
3,0,0.20076402473494712,fair/slow
3,0.5164951201223033,0.17590352378333224,slow/fair
0,0,0.2563298276412086,slow
0,0,0.2717476086513901,slow/fair
0,0,0.21199723397658954,slow
0,0,0.18122281491062583,slow/fair
0,0,0.20617991495999227,slow/fair
0,0,0.17076418080945538,fair/slow
0,0,0.030778358525030646,slow/fair
0,0,0.031931473027396295,fair/slow
