g_ht,as,ca,cation,fe,mo,ph,rel_infil,zn
14.2,0.14445039895288095,528.6215230617303,2.742886328348863,31.69897211803572,0.03385700109047411,5.88,fair/slow,0.853117227577778
13.4,0.2523426380022684,511.2563912072602,1.9961991372160426,141.3091442510399,0.016346629562648374,5.86,slow/fair,3.0043232059487086
0,0.2321397544874757,463.2205415831532,2.4419581391010965,106.47299723444999,0.04221146414132785,5.9,slow,2.5305430483411877
7,0.16290389129584204,470.72023118223103,2.371205839989834,59.461489815402224,0.016320695892226206,5.8,slow,0.825242697297132
5.25,0.16085446916239227,430.2796298506614,2.167710680601095,49.181809830562045,0.046838893424256116,6.22,slow/fair,0.4439557228990608
10,0.08364709375947357,388.3633876108655,1.6751274165965226,125.357206972428,0.027935723382229133,5.5,fair,4.147847804892616
10.6,0.2181121081053577,417.3952790735077,2.447558323293014,160.53484389704653,0.014983811285338407,5.6,slow/fair,2.287752466833514
16.25,0.11980170290888521,345.346214776652,1.4230651679283004,116.57159906458013,0.01605018650984549,5.41,fair,0.4327015275490967
10.9,0.12124059411330453,454.3657111938177,1.7240403877917136,68.92258182139804,0.018561130821662674,6.09,fair,0.46125946844816734
0,0.24046523155798466,428.664340771464,1.855107267278747,201.88561857956364,0.021079386201769263,5.71,slow/fair,1.0767306336355593
15.75,0.09410104648508931,318.8984812343535,1.5754063830943443,90.92313926545962,0,5.73,fair,0.574418871793731
19.4,0.07314094791515688,293.61744154025706,1.4041831608660749,112.63416189292005,0.040733146983255884,5.51,fair,0.6913108116684685
16.2,0.11193953800552907,385.70552157497514,1.8173471815911886,106.76380943160821,0.029025050866194998,5.66,fair,0.6781158752441531
25.1,0.13383293975839494,350.410312855663,1.2579231759748712,113.7043621664566,0.016038060482557955,5.7,fair/slow,0.3947483809347663
5.923076923076923,0.16939313583289728,431.14121023691195,2.789819804978915,75.4411556499635,0.020454734521827837,5.6,fair/slow,0.7076922903826844
12.41666666666667,0.08028150470510685,448.3654953512797,1.836113324046534,76.79153241016078,0.031398648638529356,5.97,fair,0.5470691616956056
0,0.23544130076215813,408.588420170503,5.017283570103925,262.8678366027852,0.022762564596284677,5.48,fair,1.5007540078923003
0,0.1714626571953721,440.52547291691957,3.0321486396879664,17.910042914421645,0.04439984293793627,5.94,slow,3.128587596555389
0,0.15158658629872593,474.2380532804346,2.209960592750064,70.2929758703828,0.058277261501982994,5.73,fair/slow,1.1233379068532203
0,0.3259988959683563,444.7906005718335,2.2209163774243397,95.32915220295915,0.0175931834138627,5.62,slow/fair,0.8563708776240072
0,0.20507332424466065,434.5143548307053,1.1951415647756634,110.25899863059146,0.014709501695019144,5.86,slow/fair,1.0198009340871954
15.3,0.19018529570831766,481.1195997001693,1.874677674608799,135.8114734446933,0,5.76,slow/fair,0.6771431862913511
22,0.07663052909162094,460.5102006591257,1.9831351471981242,77.21094651174978,0.04148265600443809,5.82,fair,2.3474851017803777
0,0.13785040096795606,476.2583605659508,2.321904579815326,89.66114128928989,0.05594879052837909,5.95,fair/slow,1.8187641000025982
12,0.20076402473494712,441.14053546839756,1.6611372823761423,51.93893537073394,0.013343990857142494,5.78,fair/slow,0.6019741075971518
8.666666666666666,0.17590352378333224,458.5851545931141,1.7239411816646228,80.04754141458564,0.051935210468282304,5.81,slow/fair,1.12967796480346
0,0.2563298276412086,396.48963433222764,3.4202934172821253,39.7324912215535,0.04070349705095114,6.11,slow,3.797130519113851
0,0.2717476086513901,489.3968692321684,6.844942172697829,91.4513618826466,0,6.17,slow/fair,1.644930383387621
0,0.21199723397658954,463.9315968630157,1.8672001162420655,87.059984191317,0.027211423203181904,5.75,slow,1.5507731501086535
0,0.1810295975501618,332.6751033832522,2.683861587033572,8.677078496909008,0.02355427326048781,6.74,slow,1.0067028289783007
0,0.03083534248039012,319.82923085195415,2.773116437439702,7.723036336382862,0.0389482319131167,7.69,slow/fair,0.6167709260636298
0,0.20617991495999227,452.9498538129196,1.6990273744062228,52.24374585665283,0.018190628239846855,5.72,slow/fair,1.8918730453960453
