Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.7997E-5,0.001799698,0.000410501,1,0,0
1.90864E-5,0.00370834,0.000435345,0.96875,0,0
7.53233E-5,0.011240671,0.001716959,0.9375,0,0
7.88788E-4,0.099065652,0.017834541,0.875,0,0
9.91642E-4,0.198229806,0.022369438,0.84375,0,0
3.5935E-3,0.55758021,0.07871204,0.8125,0,0
9.78741E-3,1.536320825,0.200117996,0.78125,0,0
1.17197E-2,2.70829279,0.23461407,0.75,0,0
1.21187E-2,3.920161349,0.241549047,0.71875,0,0
1.3199E-2,5.240056613,0.260012872,0.6875,0,0
2.04508E-2,7.285138036,0.372848616,0.65625,0,0
2.44712E-2,9.732262339,0.427813259,0.625,0,0
2.72507E-2,12.457327799,0.462969129,0.59375,0,0
2.99281E-2,15.450141472,0.494791517,0.5625,0.066666667,0
3.09637E-2,18.546507409,0.506586954,0.53125,0.066666667,0
3.21256E-2,21.759063867,0.51949444,0.5,0.133333333,0
3.68717E-2,25.446238524,0.568805685,0.46875,0.133333333,0
3.81637E-2,29.262611414,0.581329843,0.4375,0.2,0
3.93383E-2,33.196438806,0.59239964,0.40625,0.2,0
4.14627E-2,37.342705562,0.611683389,0.375,0.2,0
4.17389E-2,41.516600339,0.614123286,0.34375,0.266666667,0
4.38803E-2,45.90463327,0.63252173,0.3125,0.333333333,0
4.97157E-2,50.876205118,0.678327187,0.28125,0.4,0
5.18011E-2,56.056312642,0.693272619,0.25,0.466666667,0
5.47086E-2,61.527173154,0.712958557,0.21875,0.533333333,0
5.77616E-2,67.303336441,0.732271217,0.1875,0.6,0
6.226E-2,73.529336565,0.758384372,0.15625,0.666666667,0
6.30305E-2,79.832384377,0.762594322,0.125,0.733333333,0
6.67775E-2,86.5101356,0.782045764,0.09375,0.8,0
6.73339E-2,93.243525678,0.784794884,0.0625,0.866666667,0
6.75647E-2,100,0.785925276,0.03125,0.933333333,0
